step,seq_id,frame_idx,active_points,true_marking,marking_tp,marking_to_road,marking_to_other,road_to_marking,other_to_marking,predicted_marking,marking_precision,marking_recall,marking_f1,marking_iou,marking_to_road_rate,road_to_marking_rate,other_to_marking_rate,marking_tp_intensity_median,marking_to_road_intensity_median,road_to_marking_intensity_median,marking_tp_range_median,marking_to_road_range_median,road_to_marking_range_median,raw_8_true,raw_8_tp,raw_8_to_road,raw_8_to_other,raw_9_true,raw_9_tp,raw_9_to_road,raw_9_to_other,raw_10_true,raw_10_tp,raw_10_to_road,raw_10_to_other
1244,013,47,32553,515,409,106,0,501,304,1214,0.3369028006589786,0.7941747572815534,0.47310584152689417,0.3098484848484849,0.2058252427184466,0.04775977121067684,0.014108037868943754,40.0,35.0,32.0,21.64935302734375,21.12209415435791,16.53322982788086,501,406,95,0,0,0,0,0,14,3,11,0
2078,038,71,32730,237,161,76,0,86,304,551,0.29219600725952816,0.679324894514768,0.4086294416243655,0.2567783094098884,0.3206751054852321,0.024225352112676058,0.01050340324085271,54.0,37.0,32.0,37.14306640625,30.056884765625,36.17066764831543,0,0,0,0,0,0,0,0,237,161,76,0
1629,054,15,32764,516,461,55,0,368,300,1129,0.408325952170062,0.8934108527131783,0.5604863221884498,0.3893581081081081,0.1065891472868217,0.26080793763288446,0.009728572818367545,35.0,22.0,33.0,16.599882125854492,19.502002716064453,16.881199836730957,0,0,0,0,0,0,0,0,516,461,55,0
1668,013,18,32574,304,207,92,5,257,298,762,0.27165354330708663,0.680921052631579,0.3883677298311445,0.2409778812572759,0.3026315789473684,0.05173107890499195,0.010914951285620101,47.0,37.0,36.0,30.682498931884766,21.036044120788574,27.787700653076172,303,207,91,5,0,0,0,0,1,0,1,0
91,038,49,32252,0,0,0,0,0,297,297,0.0,,0.0,0.0,,0.0,0.015957446808510637,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
1274,124,23,32739,278,245,27,6,263,297,805,0.30434782608695654,0.8812949640287769,0.45244690674053556,0.29236276849642007,0.09712230215827339,0.018559029002893232,0.01623838162930563,33.0,11.0,31.0,22.655925750732422,25.07740020751953,20.259227752685547,274,245,27,2,0,0,0,0,4,0,0,4
1988,013,1,32717,183,140,43,0,233,291,664,0.21084337349397592,0.7650273224043715,0.3305785123966942,0.19801980198019803,0.23497267759562843,0.08333333333333333,0.009785459681215953,49.0,37.0,39.0,33.148799896240234,24.567977905273438,28.632381439208984,183,140,43,0,0,0,0,0,0,0,0,0
714,013,51,32509,529,353,173,3,448,290,1091,0.3235563703024748,0.667296786389414,0.43580246913580245,0.2786108918705604,0.3270321361058601,0.043184885290148446,0.013422197537721003,40.0,29.66666603088379,33.0,22.986610412597656,12.285988807678223,22.420793533325195,512,349,160,3,0,0,0,0,17,4,13,0
74,013,60,32507,482,324,158,0,355,288,967,0.33505687693898656,0.6721991701244814,0.4472049689440994,0.288,0.3278008298755187,0.05357681859341986,0.011339029095633687,43.0,35.0,35.0,22.16256332397461,21.02207374572754,25.562013626098633,418,309,109,0,0,0,0,0,64,15,49,0
1035,013,58,32708,392,271,119,2,337,282,890,0.3044943820224719,0.6913265306122449,0.42277691107644305,0.26805143422354105,0.30357142857142855,0.05951960438007771,0.010580025512118256,43.0,34.0,35.0,23.603116989135742,21.55891990661621,27.406517028808594,351,259,90,2,0,0,0,0,41,12,29,0
167,013,32,32599,505,324,171,10,253,279,856,0.37850467289719625,0.6415841584158416,0.4761204996326231,0.3124397299903568,0.33861386138613864,0.03925523661753297,0.010877617061094,39.0,32.0,33.0,17.039999961853027,16.1949520111084,25.29123306274414,504,324,171,9,0,0,0,0,1,0,0,1
512,013,35,32736,326,232,93,1,298,277,807,0.2874845105328377,0.7116564417177914,0.4095322153574581,0.25749167591564925,0.2852760736196319,0.06499454743729553,0.00995507637017071,43.0,37.0,36.0,28.114447593688965,20.142608642578125,26.7177152633667,322,231,91,0,0,0,0,0,4,1,2,1
1102,038,48,32737,0,0,0,0,5,274,279,0.0,,0.0,0.0,,0.00045053162732023786,0.012662322658163501,,,32.0,,,16.343725204467773,0,0,0,0,0,0,0,0,0,0,0,0
421,037,60,32768,676,0,676,0,45,270,315,0.0,0.0,0.0,0.0,1.0,0.0030494002846106934,0.015575425439861552,,29.5,36.0,,12.590036869049072,10.328051567077637,0,0,0,0,0,0,0,0,676,0,676,0
1313,013,40,32591,417,353,63,1,404,268,1025,0.344390243902439,0.8465227817745803,0.4895977808599168,0.3241505968778696,0.1510791366906475,0.06031651239175873,0.010519704820222955,43.0,30.5,33.0,23.662277221679688,14.559889793395996,25.792040824890137,412,350,61,1,0,0,0,0,5,3,2,0
1376,037,63,32762,0,0,0,0,12,263,275,0.0,,0.0,0.0,,0.0025789813023855577,0.009356433882386423,,,36.0,,,32.606027603149414,0,0,0,0,0,0,0,0,0,0,0,0
798,013,10,32630,622,503,116,3,605,260,1368,0.3676900584795322,0.8086816720257235,0.5055276381909548,0.3382649630127774,0.1864951768488746,0.049513053441361816,0.013138612360402244,41.0,32.0,31.0,12.437337875366211,11.153340339660645,12.273280143737793,622,503,116,3,0,0,0,0,0,0,0,0
1136,013,12,32746,212,157,52,3,189,260,606,0.2590759075907591,0.7405660377358491,0.38386308068459657,0.23751891074130105,0.24528301886792453,0.056485355648535567,0.008907770316568453,49.0,36.5,36.0,32.779476165771484,23.682024002075195,32.37248229980469,212,157,52,3,0,0,0,0,0,0,0,0
1466,124,25,32730,258,231,27,0,289,259,779,0.29653401797175866,0.8953488372093024,0.4455159112825458,0.2866004962779156,0.10465116279069768,0.03317644357708644,0.010900214637431084,33.0,27.0,22.0,24.97087860107422,19.48689079284668,31.648305892944336,258,231,27,0,0,0,0,0,0,0,0,0
558,038,75,32638,421,325,96,0,165,258,748,0.4344919786096257,0.7719714964370546,0.5560307955517536,0.38507109004739337,0.22802850356294538,0.01972268706669854,0.010817156513353738,50.0,39.0,30.0,33.15925598144531,28.784523963928223,33.6474723815918,0,0,0,0,0,0,0,0,421,325,96,0
