step,seq_id,frame_idx,active_points,true_lane,lane_tp,lane_to_road,lane_to_other,road_to_lane,other_to_lane,predicted_lane,lane_false_positive,lane_recall,lane_precision,lane_f1,lane_iou,lane_to_road_rate,lane_tp_intensity_mean,lane_tp_intensity_median,lane_to_road_intensity_mean,lane_to_road_intensity_median,road_to_lane_intensity_mean,road_to_lane_intensity_median,lane_tp_range_mean,lane_tp_range_median,lane_to_road_range_mean,lane_to_road_range_median
1675,013,30,16285,541,149,365,27,137,53,339,190,0.2754158964879852,0.43952802359882004,0.3386363636363636,0.20383036935704515,0.6746765249537893,47.9731559753418,40.0,30.535846710205078,30.0,39.649635314941406,34.5,12.739684104919434,12.190119743347168,12.168831825256348,11.217650413513184
1258,054,56,16378,512,147,365,0,90,317,554,407,0.287109375,0.26534296028880866,0.275797373358349,0.15995647442872687,0.712890625,47.13786697387695,41.0,29.212923049926758,30.0,28.761110305786133,29.0,12.87514877319336,10.853456497192383,14.4735107421875,13.70732593536377
975,054,40,16326,423,58,365,0,142,275,475,417,0.13711583924349882,0.12210526315789473,0.1291759465478842,0.06904761904761905,0.8628841607565012,42.52011489868164,39.33333396911621,28.360729217529297,29.0,31.47124671936035,30.5,13.562764167785645,13.952889442443848,13.189522743225098,12.432307243347168
632,013,27,16221,580,199,364,17,131,4,334,135,0.3431034482758621,0.5958083832335329,0.43544857768052514,0.2783216783216783,0.6275862068965518,40.87102127075195,39.0,28.96726417541504,29.0,35.79707336425781,32.0,12.433863639831543,12.661508560180664,11.609877586364746,11.277504920959473
1126,054,55,16367,484,120,364,0,81,322,523,403,0.24793388429752067,0.2294455066921606,0.23833167825223436,0.13528748590755355,0.7520661157024794,47.62430953979492,38.5,29.314788818359375,29.5,29.29423713684082,29.5,14.326460838317871,12.030101299285889,14.59568977355957,13.924846172332764
955,013,31,16270,606,206,363,37,188,116,510,304,0.33993399339933994,0.403921568627451,0.36917562724014336,0.22637362637362637,0.599009900990099,48.23948669433594,44.0,28.86547088623047,29.0,39.96418380737305,34.0,10.732680320739746,10.147121906280518,10.729226112365723,10.260648727416992
995,123,13,16350,482,119,363,0,128,17,264,145,0.24688796680497926,0.45075757575757575,0.3190348525469169,0.189792663476874,0.7531120331950207,40.60924530029297,34.0,24.62809944152832,29.0,35.32421875,33.0,26.946006774902344,23.499164581298828,25.207557678222656,21.23117446899414
1509,054,57,16380,524,161,362,1,72,317,550,389,0.30725190839694655,0.2927272727272727,0.29981378026070765,0.17634173055859803,0.6908396946564885,47.8057975769043,43.5,28.856121063232422,29.0,29.46319580078125,29.0,11.065802574157715,9.724637985229492,13.395917892456055,13.031726360321045
1788,124,45,16357,526,166,360,0,148,0,314,148,0.3155893536121673,0.5286624203821656,0.3952380952380952,0.24629080118694363,0.6844106463878327,58.75,63.75,30.051389694213867,30.0,35.724098205566406,33.0,17.564367294311523,14.95488166809082,16.631229400634766,15.995050430297852
1255,054,56,16378,514,154,360,0,106,277,537,383,0.29961089494163423,0.28677839851024206,0.29305423406279735,0.1716833890746934,0.7003891050583657,46.508548736572266,39.0,29.07685089111328,29.75,28.257863998413086,29.5,13.140922546386719,10.91215991973877,14.442543029785156,13.655692100524902
191,124,54,16376,711,355,356,0,148,0,503,148,0.49929676511954996,0.705765407554672,0.5848434925864909,0.41327124563445866,0.5007032348804501,54.829345703125,61.0,29.80678939819336,30.0,31.302589416503906,31.0,10.347726821899414,9.513110160827637,14.12679386138916,14.042847633361816
634,123,16,16381,516,160,356,0,138,0,298,138,0.31007751937984496,0.5369127516778524,0.3931203931203931,0.24464831804281345,0.689922480620155,56.4958381652832,52.75,29.165340423583984,29.0,38.855072021484375,31.0,12.549860000610352,12.732466220855713,13.867178916931152,13.942668914794922
738,054,67,16383,474,118,356,0,97,351,566,448,0.2489451476793249,0.20848056537102475,0.22692307692307692,0.1279826464208243,0.7510548523206751,55.653953552246094,50.333335876464844,27.688669204711914,29.0,28.5579891204834,29.0,11.362398147583008,9.555344581604004,14.370413780212402,13.453618049621582
